csvdate,nav
2026-01-07,10.9515
2026-01-08,10.8472
2026-01-09,10.8336
2026-01-12,10.8715
2026-01-13,10.9243
2026-01-14,10.9639
2026-01-15,10.9663
2026-01-16,11.0316
2026-01-19,10.9734
2026-01-20,10.925
2026-01-21,10.9149
2026-01-22,11.0004
2026-01-23,11.0379
2026-01-26,11.0808
2026-01-27,11.2603
2026-01-28,11.4316
2026-01-29,11.3964
2026-01-30,11.2959
2026-02-02,11.0472
2026-02-03,11.2754
2026-02-04,11.2992
2026-02-05,11.1439
2026-02-06,11.1037
2026-02-09,11.3146
2026-02-10,11.3552
2026-02-11,11.475
2026-02-12,11.519
2026-02-13,11.424
2026-02-24,11.6081
2026-02-25,11.7053
2026-02-26,11.7227
2026-02-27,11.7294
2026-03-02,11.6615
2026-03-03,11.3941
2026-03-04,10.9039
2026-03-05,11.1303
2026-03-06,11.0718
2026-03-09,10.7398
